variant,n_states,connectivity,seed,depth,budget,learning_rate,temperature,arm,accuracy,measured_nnz,test_weights_unchanged
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,240,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,240,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,240,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,240,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,240,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,240,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,240,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,240,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,240,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,240,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,240,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,240,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,240,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,240,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,240,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,240,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.035000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,1,960,0.070000,hard,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.035000,soft,direct-terminal,0.660000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.035000,2.0000,direct-terminal,0.610000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.035000,1.0000,direct-terminal,0.610000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.035000,hard,direct-terminal,0.585000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.035000,soft,direct-terminal,0.647500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.035000,2.0000,direct-terminal,0.647500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.035000,1.0000,direct-terminal,0.647500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.035000,hard,direct-terminal,0.572500,32,true
