seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
13400911004452511913,1,480,0.035000,2.0000,direct-terminal,1.000000,true
13400911004452511913,1,480,0.035000,1.0000,direct-terminal,1.000000,true
13400911004452511913,1,480,0.035000,0.5000,direct-terminal,1.000000,true
13400911004452511913,1,480,0.035000,0.2500,direct-terminal,1.000000,true
13400911004452511913,1,480,0.035000,0.1000,direct-terminal,1.000000,true
13400911004452511913,1,480,0.035000,hard,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,soft,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,2.0000,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,1.0000,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,0.5000,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,0.2500,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,0.1000,direct-terminal,1.000000,true
14389304000666033340,1,480,0.035000,hard,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,soft,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,2.0000,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,1.0000,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,0.5000,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,0.2500,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,0.1000,direct-terminal,1.000000,true
7379312348008863955,1,480,0.035000,hard,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,soft,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,2.0000,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,1.0000,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,0.5000,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,0.2500,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,0.1000,direct-terminal,1.000000,true
9520731371184805094,1,480,0.035000,hard,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,soft,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,2.0000,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,1.0000,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,0.5000,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,0.2500,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,0.1000,direct-terminal,1.000000,true
2511848558889390333,1,480,0.035000,hard,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,soft,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,2.0000,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,1.0000,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,0.5000,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,0.2500,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,0.1000,direct-terminal,1.000000,true
4653197178990775568,1,480,0.035000,hard,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,soft,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,2.0000,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,1.0000,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,0.5000,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,0.2500,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,0.1000,direct-terminal,1.000000,true
17242871620025108775,1,480,0.035000,hard,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,soft,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,2.0000,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,1.0000,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,0.5000,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,0.2500,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,0.1000,direct-terminal,1.000000,true
937440981967258938,1,480,0.035000,hard,direct-terminal,1.000000,true
12336995258221445457,1,480,0.035000,soft,direct-terminal,1.000000,true
